gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2023-04-01 08:02:35 +07,2023-04-01 08:02:35 +07,32,1.24,87.900002,30,76,1009,27659,0,0.42,0,0,0,1,4,7.6,2.142,92,3.032,107
2023-04-01 08:12:35 +07,2023-04-01 08:12:35 +07,32,1.242,82.900002,31,74,1009,29105,0,0.45,0,0,0,1,4,7.5,1.791,72,3.234,40
2023-04-01 08:22:35 +07,2023-04-01 08:22:35 +07,32,1.421,113.800003,31,75,1009,29728,0,0.48,0,0,0,1,4,7.5,1.857,71,2.765,168
2023-04-01 08:32:35 +07,2023-04-01 08:32:35 +07,32,1.358,137.899994,30,76,1009,33957,0,0.54,0,0,0,1,4,7.5,2.327,160,3.514,190
2023-04-01 08:42:35 +07,2023-04-01 08:42:35 +07,32,1.514,146.300003,31,75,1009,38846,0,0.61,0,0,0,1,4,7.5,2.974,167,4.25,169
2023-04-01 08:52:35 +07,2023-04-01 08:52:35 +07,32,1.125,150.899994,31,72,1009,44710,0,0.69,0,0,0,1,4,7.5,2.18,151,3.35,182
2023-04-01 09:02:35 +07,2023-04-01 09:02:35 +07,32,1.183,150.399994,32,71,1009,49558,0,0.75,0,0,0,1,4,7.5,1.911,153,3.226,144
2023-04-01 09:12:35 +07,2023-04-01 09:12:35 +07,32,1.337,143.300003,32,69,1009,49010,0,0.75,0,0,0,1,4,7.5,2.782,185,4.203,219
2023-04-01 09:22:35 +07,2023-04-01 09:22:35 +07,32,1.255,111.300003,33,68,1009,57836,0,0.86,0,0,0,1,4,7.5,2.333,169,3.809,157
2023-04-01 09:32:35 +07,2023-04-01 09:32:35 +07,32,1.396,158.800003,33,67,1009,56973,0,0.94,0,0,0,1,4,7.5,2.339,165,3.865,179
2023-04-01 09:42:35 +07,2023-04-01 09:42:35 +07,32,1.524,209.600006,33,64,1010,78250,0,1.19,0,0,0,1,4,7.5,3.069,205,5.368,196
2023-04-01 09:52:35 +07,2023-04-01 09:52:35 +07,32,1.843,182,34,63,1010,72758,0,1.2,0,0,0,1,4,7.5,3.223,190,4.721,176
2023-04-01 10:02:35 +07,2023-04-01 10:02:35 +07,32,1.644,200.300003,34,62,1010,76586,0,1.2,0,0,0,1,4,7.5,2.284,232,3.371,173
2023-04-01 10:12:35 +07,2023-04-01 10:12:35 +07,32,1.239,184.100006,34,62,1010,43668,0,1.19,0,0,0,1,4,7.5,2.243,156,3.763,156
2023-04-01 10:22:35 +07,2023-04-01 10:22:35 +07,32,2.023,174.199997,33,62,1009,69772,0,1.23,0,0,0,1,4,7.5,2.99,162,3.901,168
2023-04-01 10:32:35 +07,2023-04-01 10:32:35 +07,32,1.531,205,34,61,1009,53734,0,1.23,0,0,0,1,4,7.5,2.595,214,3.447,208
2023-04-01 10:42:35 +07,2023-04-01 10:42:35 +07,32,1.067,229.199997,34,60,1009,41279,0,0.89,0,0,0,1,3.9,7.5,2.312,210,3.24,227
2023-04-01 10:52:35 +07,2023-04-01 10:52:35 +07,32,1.543,178.199997,34,61,1009,54274,0,1.15,0,0,0,1,3.9,7.5,2.684,163,4.622,174
2023-04-01 11:02:35 +07,2023-04-01 11:02:35 +07,32,2.054,146.5,34,58,1009,106621,0,2.02,0,0,0,1,4,7.5,3.018,139,5.537,152
2023-04-01 11:12:35 +07,2023-04-01 11:12:35 +07,32,2.039,174.899994,34,58,1009,57207,0,2.02,0,0,0,1,3.9,7.5,3.49,158,6.343,163
2023-04-01 11:22:35 +07,2023-04-01 11:22:35 +07,32,1.568,217.600006,34,58,1009,73723,0,2.02,0,0,0,1,3.9,7.5,2.883,172,3.639,214
2023-04-01 11:32:35 +07,2023-04-01 11:32:35 +07,32,1.705,195.899994,35,56,1009,101340,0,2.02,0,0,0,1,3.9,7.4,3.348,176,4.806,166
2023-04-01 11:42:35 +07,2023-04-01 11:42:35 +07,32,1.514,194.199997,35,55,1008,95995,0,2.02,0,0,0,1,3.9,7.4,2.377,176,3.575,170
2023-04-01 11:52:35 +07,2023-04-01 11:52:35 +07,32,1.662,210.800003,35,56,1008,52787,0,2.02,0,0,0,1,3.9,7.5,2.728,193,4.335,205
2023-04-01 12:02:35 +07,2023-04-01 12:02:35 +07,32,1.903,209.399994,35,57,1008,86979,0,2.02,0,0,0,1,3.9,7.4,2.962,188,4.536,198
2023-04-01 12:12:35 +07,2023-04-01 12:12:35 +07,32,1.14,207.600006,35,55,1008,100694,0,2.02,0,0,0,1,3.9,7.4,2.228,213,4.517,163
2023-04-01 12:22:35 +07,2023-04-01 12:22:35 +07,32,1.342,201.800003,35,54,1008,67044,0,2.02,0,0,0,1,3.9,7.4,2.164,174,3.417,181
2023-04-01 12:32:35 +07,2023-04-01 12:32:35 +07,32,1.935,162.899994,35,55,1008,91312,0,2.02,0,0,0,1,3.9,7.4,3.165,157,4.795,157
2023-04-01 12:42:35 +07,2023-04-01 12:42:35 +07,32,1.669,173.600006,35,53,1007,101742,0,2.02,0,0,0,1,3.9,7.4,3.452,163,4.411,160
2023-04-01 12:52:35 +07,2023-04-01 12:52:35 +07,32,1.286,180.300003,35,53,1007,62759,0,2.02,0,0,0,1,3.9,7.4,2.284,163,3.386,174
2023-04-01 13:02:35 +07,2023-04-01 13:02:35 +07,32,1.186,193.199997,35,54,1007,39641,0,2.02,0,0,0,1,3.9,7.4,2.86,140,3.979,148
2023-04-01 13:12:35 +07,2023-04-01 13:12:35 +07,32,1.524,150.800003,35,55,1007,79277,0,2.02,0,0,0,1,3.9,7.4,3.083,148,4.57,156
2023-04-01 13:22:35 +07,2023-04-01 13:22:35 +07,32,1.484,184.600006,35,54,1006,63980,0,1.83,0,0,0,1,3.9,7.4,2.474,139,4.133,222
2023-04-01 13:32:35 +07,2023-04-01 13:32:35 +07,32,1.902,223.399994,36,54,1006,95417,0,1.1,0,0,0,1,3.9,7.4,2.728,214,5.759,168
2023-04-01 13:42:35 +07,2023-04-01 13:42:35 +07,32,2.058,186.699997,35,54,1006,56150,0,1.17,0,0,0,1,3.9,7.4,3.092,182,5.948,208
2023-04-01 13:52:35 +07,2023-04-01 13:52:35 +07,32,1.498,188.399994,35,54,1006,73002,0,1.64,0,0,0,1,3.8,7.4,2.193,177,3.977,161
2023-04-01 14:02:35 +07,2023-04-01 14:02:35 +07,32,1.702,197.100006,36,54,1006,84268,0,1.65,0,0,0,1,3.8,7.4,2.385,166,3.918,173
2023-04-01 14:12:35 +07,2023-04-01 14:12:35 +07,32,1.934,189.300003,36,52,1006,86543,0,1.77,0,0,0,1,3.8,7.4,3.163,164,4.412,144
2023-04-01 14:22:35 +07,2023-04-01 14:22:35 +07,32,2.017,179,36,52,1005,103270,0,1.66,0,0,0,1,3.8,7.4,2.988,195,5.15,167
2023-04-01 14:32:35 +07,2023-04-01 14:32:35 +07,32,2.045,206.399994,36,51,1005,111261,0,1.4,0,0,0,1,3.8,7.4,3.597,208,5.331,179
2023-04-01 14:42:35 +07,2023-04-01 14:42:35 +07,32,1.539,211.899994,37,49,1005,106554,0,1.33,0,0,0,1,3.8,7.4,3.235,215,4.379,206
2023-04-01 14:52:35 +07,2023-04-01 14:52:35 +07,32,1.584,237.600006,37,48,1005,101978,0,1.31,0,0,0,1,3.8,7.4,2.69,263,4.589,267
2023-04-01 15:02:35 +07,2023-04-01 15:02:35 +07,32,1.746,209,37,47,1005,96357,0,1.31,0,0,0,1,3.8,7.4,3.134,192,4.927,170
2023-04-01 15:12:35 +07,2023-04-01 15:12:35 +07,32,1.633,205.199997,37,46,1005,93879,0,1.22,0,0,0,1,3.8,7.4,2.947,169,4.605,183
2023-04-01 15:22:35 +07,2023-04-01 15:22:35 +07,32,1.738,193.399994,37,46,1004,88765,0,1.12,0,0,0,1,3.8,7.4,3.119,159,5.515,164
2023-04-01 15:32:35 +07,2023-04-01 15:32:35 +07,32,2.049,203.699997,36,46,1004,84062,0,1.11,0,0,0,1,3.7,7.4,3.519,176,4.981,161
2023-04-01 15:42:35 +07,2023-04-01 15:42:35 +07,32,1.502,223.199997,37,45,1004,78712,0,0.99,0,0,0,1,3.8,7.4,3.002,196,4.949,193
2023-04-01 15:52:35 +07,2023-04-01 15:52:35 +07,32,1.291,216.600006,37,44,1004,73268,0,0.88,0,0,0,1,3.7,7.4,2.214,250,4.311,271
2023-04-01 16:02:35 +07,2023-04-01 16:02:35 +07,32,1.57,213,37,45,1004,67417,0,0.77,0,0,0,1,3.7,7.4,2.508,152,4.737,183
2023-04-01 16:12:35 +07,2023-04-01 16:12:35 +07,32,1.682,216.699997,37,45,1004,63261,0,0.71,0,0,0,1,3.7,7.4,3.422,166,4.411,162
2023-04-01 16:22:35 +07,2023-04-01 16:22:35 +07,32,1.518,199.399994,36,47,1004,57491,0,0.66,0,0,0,1,3.7,7.4,3.191,165,3.963,159
2023-04-01 16:32:35 +07,2023-04-01 16:32:35 +07,32,1.636,218.300003,37,47,1004,52678,0,0.64,0,0,0,1,3.8,7.4,2.684,224,3.714,225
2023-04-01 16:42:35 +07,2023-04-01 16:42:35 +07,32,1.495,233,36,49,1004,47330,0,0.57,0,0,0,1,3.7,7.4,2.29,185,3.595,217
2023-04-01 16:52:35 +07,2023-04-01 16:52:35 +07,32,1.41,209.899994,36,48,1004,41601,0,0.5,0,0,0,1,3.7,7.4,2.293,201,3.688,194
2023-04-01 17:02:35 +07,2023-04-01 17:02:35 +07,32,1.524,208,36,49,1004,35293,0,0.44,0,0,0,1,3.8,7.4,2.225,171,4.101,185
2023-04-01 17:12:35 +07,2023-04-01 17:12:35 +07,32,1.806,185.899994,36,50,1004,29134,0,0.44,0,0,0,1,3.8,7.4,2.725,188,4.682,177
2023-04-01 17:22:35 +07,2023-04-01 17:22:35 +07,32,1.733,186.699997,35,51,1004,23696,0,0.44,0,0,0,1,3.8,7.5,2.97,159,4.437,184
2023-04-01 17:32:35 +07,2023-04-01 17:32:35 +07,32,1.654,195.600006,35,52,1004,18714,0,0.27,0,0,0,1,3.8,7.5,2.378,195,4.483,209
2023-04-01 17:42:35 +07,2023-04-01 17:42:35 +07,32,1.757,183.600006,35,54,1004,14621,0,0.22,0,0,0,1,3.8,7.5,3.188,174,5.273,205
2023-04-01 17:52:35 +07,2023-04-01 17:52:35 +07,32,1.609,187.399994,34,56,1004,11207,0,0.17,0,0,0,1,3.8,7.5,3.02,171,4.76,170
2023-04-01 18:02:35 +07,2023-04-01 18:02:35 +07,32,1.588,173.199997,34,58,1004,7928,0,0.12,0,0,0,1,3.8,7.5,2.857,170,4.275,167
2023-04-01 18:12:35 +07,2023-04-01 18:12:35 +07,32,1.068,182.5,33,59,1005,4102,0,0.08,0,0,0,1,3.9,7.5,2.872,175,4.762,157
2023-04-01 18:22:35 +07,2023-04-01 18:22:35 +07,32,1.673,168.899994,33,59,1005,1933,0,0.04,0,0,0,1,3.9,7.5,2.764,171,4.306,173
2023-04-01 18:32:35 +07,2023-04-01 18:32:35 +07,32,1.366,200.399994,33,61,1005,684,0,0.02,0,0,0,1,3.9,7.5,2.491,233,4.017,168
2023-04-01 18:42:35 +07,2023-04-01 18:42:35 +07,32,1.561,198.699997,32,61,1005,123,0,0.01,0,0,0,1,3.9,7.5,2.591,215,4.253,176
2023-04-01 18:52:35 +07,2023-04-01 18:52:35 +07,32,1.426,201,32,63,1005,3,0,0.01,0,0,0,1,3.9,7.5,2.253,205,3.795,169
2023-04-01 19:02:35 +07,2023-04-01 19:02:35 +07,32,1.574,188.5,32,64,1005,0,0,0.01,0,0,0,1,3.9,7.5,2.204,192,3.917,163
2023-04-01 19:12:35 +07,2023-04-01 19:12:35 +07,32,1.127,210.800003,32,65,1005,0,0,0.01,0,0,0,1,3.9,7.5,1.894,199,3.66,164
2023-04-01 19:22:35 +07,2023-04-01 19:22:35 +07,32,1.29,169.699997,31,65,1005,0,0,0.01,0,0,0,1,3.9,7.5,2.048,178,3.855,171
2023-04-01 19:32:35 +07,2023-04-01 19:32:35 +07,32,1.321,167.600006,31,64,1005,0,0,0.01,0,0,0,1,3.9,7.5,2.432,173,4.498,166
2023-04-01 19:42:35 +07,2023-04-01 19:42:35 +07,32,1.393,175.300003,31,64,1005,0,0,0.01,0,0,0,1,3.9,7.6,2.833,161,4.085,175
2023-04-01 19:52:35 +07,2023-04-01 19:52:35 +07,32,1.358,192.899994,31,65,1005,0,0,0.01,0,0,0,1,3.9,7.5,2.637,191,4.91,165
2023-04-01 20:02:35 +07,2023-04-01 20:02:35 +07,32,1.44,193.600006,31,66,1006,0,0,0.01,0,0,0,1,3.9,7.5,2.348,214,4.218,170
2023-04-01 20:12:35 +07,2023-04-01 20:12:35 +07,32,1.037,167.699997,31,67,1006,0,0,0.01,0,0,0,1,3.9,7.5,1.578,181,2.837,193
2023-04-01 20:22:35 +07,2023-04-01 20:22:35 +07,32,1.297,174.300003,31,67,1006,0,0,0.01,0,0,0,1,3.9,7.6,2.228,169,3.797,167
2023-04-01 20:32:35 +07,2023-04-01 20:32:35 +07,32,0.535,147.899994,31,68,1006,0,0,0.01,0,0,0,1,3.9,7.6,0.965,200,2.017,211
2023-04-01 20:42:35 +07,2023-04-01 20:42:35 +07,32,1.027,152.699997,30,70,1007,0,0,0.01,0,0,0,1,3.9,7.5,2.222,164,3.801,171
2023-04-01 20:52:35 +07,2023-04-01 20:52:35 +07,32,0.842,122.800003,30,70,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.804,162,2.642,142
2023-04-01 21:02:35 +07,2023-04-01 21:02:35 +07,32,0.726,140.800003,30,70,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.07,199,2.348,190
2023-04-01 21:12:35 +07,2023-04-01 21:12:35 +07,32,0.925,174.399994,30,71,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.5,218,2.831,230
2023-04-01 21:22:35 +07,2023-04-01 21:22:35 +07,32,0.9,207.800003,30,70,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.227,196,2.77,172
2023-04-01 21:32:35 +07,2023-04-01 21:32:35 +07,32,0.831,121.099998,30,70,1007,0,0,0.01,0,0,0,1,3.9,7.5,1.88,191,2.853,190
2023-04-01 21:42:35 +07,2023-04-01 21:42:35 +07,32,1.221,189,30,69,1007,0,0,0.01,0,0,0,1,3.9,7.6,2.721,175,4.592,205
2023-04-01 21:52:35 +07,2023-04-01 21:52:35 +07,32,0.945,173.699997,30,69,1007,0,0,0.01,0,0,0,1,3.9,7.6,2.228,180,3.896,169
2023-04-01 22:02:35 +07,2023-04-01 22:02:35 +07,32,1.251,157,30,69,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.949,175,3.711,163
2023-04-01 22:12:35 +07,2023-04-01 22:12:35 +07,32,1.149,182.5,30,70,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.911,178,3.547,207
2023-04-01 22:22:35 +07,2023-04-01 22:22:35 +07,32,0.88,150.399994,30,71,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.422,170,2.603,171
2023-04-01 22:32:35 +07,2023-04-01 22:32:35 +07,32,0.648,144.5,29,72,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.025,198,2.275,213
2023-04-01 22:42:35 +07,2023-04-01 22:42:35 +07,32,1.296,155.199997,29,73,1008,0,0,0.01,0,0,0,1,3.9,7.6,2.305,161,3.445,168
2023-04-01 22:52:35 +07,2023-04-01 22:52:35 +07,32,0.687,115.900002,29,74,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.365,230,2.477,159
2023-04-01 23:02:35 +07,2023-04-01 23:02:35 +07,32,0.769,119.599998,29,75,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.676,150,2.852,151
2023-04-01 23:12:35 +07,2023-04-01 23:12:35 +07,32,0.867,124.099998,29,76,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.775,188,3.035,192
2023-04-01 23:22:35 +07,2023-04-01 23:22:35 +07,32,1.195,156.899994,29,77,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.923,153,3.228,171
2023-04-01 23:32:35 +07,2023-04-01 23:32:35 +07,32,1.229,159.100006,29,77,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.863,161,3.069,182
2023-04-01 23:42:35 +07,2023-04-01 23:42:35 +07,32,1.265,152.899994,29,77,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.84,166,3.221,160
2023-04-01 23:52:35 +07,2023-04-01 23:52:35 +07,32,1.073,129.699997,29,78,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.936,165,3.784,161
2023-04-02 00:02:35 +07,2023-04-02 00:02:35 +07,32,1.311,152.600006,29,77,1008,0,0,0.01,0,0,0,1,3.9,7.6,2.506,177,4.6,174
2023-04-02 00:12:35 +07,2023-04-02 00:12:35 +07,32,1.47,146.600006,29,77,1008,0,0,0.01,0,0,0,1,3.9,7.6,2.355,161,4.724,170
2023-04-02 00:22:35 +07,2023-04-02 00:22:35 +07,32,1.065,145.600006,29,77,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.673,156,3.307,164
2023-04-02 00:32:35 +07,2023-04-02 00:32:35 +07,32,1.109,137.100006,29,77,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.687,176,3.463,152
2023-04-02 00:42:35 +07,2023-04-02 00:42:35 +07,32,0.925,126.699997,29,77,1007,0,0,0.01,0,0,0,1,3.9,7.6,2.185,157,3.488,159
2023-04-02 00:52:35 +07,2023-04-02 00:52:35 +07,32,0.906,114.300003,29,77,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.966,146,3.429,159
2023-04-02 01:02:35 +07,2023-04-02 01:02:35 +07,32,0.827,113.099998,29,77,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.212,142,2.823,138
2023-04-02 01:12:35 +07,2023-04-02 01:12:35 +07,32,1.015,140.800003,29,77,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.737,168,3.197,140
2023-04-02 01:22:35 +07,2023-04-02 01:22:35 +07,32,1.091,167.699997,29,77,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.862,193,3.121,166
2023-04-02 01:32:35 +07,2023-04-02 01:32:35 +07,32,0.669,106,29,77,1007,0,0,0.01,0,0,0,1,3.9,7.6,0.991,116,2.147,216
2023-04-02 01:42:35 +07,2023-04-02 01:42:35 +07,32,0.947,112.900002,29,78,1006,0,0,0.01,0,0,0,1,3.9,7.6,1.441,149,2.573,150
2023-04-02 01:52:35 +07,2023-04-02 01:52:35 +07,32,0.909,121.599998,28,79,1006,0,0,0.01,0,0,0,1,3.9,7.6,1.421,159,2.671,169
2023-04-02 02:02:35 +07,2023-04-02 02:02:35 +07,32,0.867,132,28,79,1006,0,0,0.01,0,0,0,1,3.9,7.6,1.429,135,2.587,201
2023-04-02 02:12:35 +07,2023-04-02 02:12:35 +07,32,0.88,103.300003,28,80,1006,0,0,0.01,0,0,0,1,3.9,7.6,1.4,137,2.471,137
2023-04-02 02:22:35 +07,2023-04-02 02:22:35 +07,32,1.094,132.600006,28,79,1006,0,0,0.01,0,0,0,1,3.9,7.6,2.058,158,3.434,162
2023-04-02 02:32:35 +07,2023-04-02 02:32:35 +07,32,0.773,107.699997,28,78,1006,0,0,0.01,0,0,0,1,3.9,7.6,1.599,169,3.618,174
